name,method,orbitalPeriod,mass,radius,semimajor,density,composition,dist,luminosity,Habitable?
WASP-177 b,Transit,3.071722,0.508,1.58,0.03957,0.172,Hot Jupiter,178.0,0.48587591430399996,False
WASP-181 b,Transit,4.5195064,0.299,1.184,0.05427,0.237,Hot Jupiter,443.0,0.918653239296,False
WASP-183 b,Transit,4.1117771,0.502,1.47,0.04632,0.21,Hot Jupiter,328.0,0.348550905924,False
TOI 216 b,Transit,17.089,0.09439,0.686,0.1293,0.34,Hot Jupiter,178.84,0.37683883238399996,False
TOI 216 c,Transit,34.556,0.62927,1.007,0.2069,0.76,Hot Jupiter,178.84,0.37683883238399996,False
KELT-23 A b,Transit,2.255251,0.938,1.323,0.03302,0.503,Hot Jupiter,125.42,0.8835999999999999,False
HATS-59 b,Transit,5.416081,0.806,1.126,0.06112,0.7,Hot Jupiter,654.88,1.2653190184960004,False
HD 221416 b,Transit,14.2767,0.19,0.836,0.1228,0.431,Hot Jupiter,95.08,109.38557706753599,False
TOI 150.01,Transit,5.857342,1.75,1.38,0.0583,0.83,Hot Jupiter,336.0,9.018759765625001,False
LHS 1140 c,Transit,3.777931,0.00569,0.114,0.02675,4.7,Mars,14.99,6.301184399999999e-05,False
CoRoT-21 b,Transit,2.72474,2.26,1.3,0.0417,1.36,Hot Jupiter,1398.83,24.061232300624997,False
KOI-3680 b,Transit,141.241671,1.93,0.99,0.534,2.46,Neptune,946.59,0.8664184258559998,False
K2-60 b,Transit,3.00265,0.426,0.683,0.045,1.7,Neptune,498.7,1.4805243658240006,False
K2-66 b,Transit,5.06963,0.06702,0.222,0.05983,7.8,iron,520.43,9.583228471041,False
MASCARA-1 b,Transit,2.14878,3.7,1.5,0.043,1.5,Neptune,188.7,57.53525904000001,False
GJ 9827 b,Transit,1.2089802,0.01076,0.145,0.01888,4.5,Mars,29.69,0.05152037436099999,False
GJ 9827 c,Transit,3.648083,0.00761,0.113,0.03942,6.4,Earth,29.69,0.05152037436099999,False
GJ 9827 d,Transit,6.201467,0.01636,0.185,0.05615,3.23,Mars,29.69,0.05152037436099999,False
HATS-50 b,Transit,3.8297015,0.39,1.13,0.05046,0.33,Hot Jupiter,717.0,2.1539906519040004,False
HATS-51 b,Transit,3.3488702,0.768,1.41,0.04639,0.34,Hot Jupiter,478.0,6.088970797055999,False
HATS-52 b,Transit,1.36665436,2.24,1.382,0.02498,1.06,Hot Jupiter,631.0,1.4976252506250005,False
HATS-53 b,Transit,3.8537768,0.595,1.34,0.04753,0.303,Hot Jupiter,613.0,1.3493145600000003,False
KELT-19 A b,Transit,4.6117093,4.07,1.91,0.0637,0.744,Hot Jupiter,302.8,29.432990347524008,False
WASP-53 b,Transit,3.3098443,2.132,1.074,0.04101,2.28,Neptune,202.51,0.28901376,False
WASP-81 b,Transit,2.7164762,0.729,1.429,0.03908,0.332,Hot Jupiter,402.96,3.1310311587840003,False
KELT-16 b,Transit,0.9689951,2.75,1.415,0.02044,1.2,Hot Jupiter,450.28,5.008715616256001,False
TRAPPIST-1 e,Transit,6.099615,0.00195,0.082,0.02817,4.4,Mars,12.43,1.3271039999999999e-06,False
TRAPPIST-1 f,Transit,9.20669,0.00214,0.093,0.0371,3.3,Mars,12.43,1.3271039999999999e-06,False
TRAPPIST-1 g,Transit,12.35294,0.00422,0.101,0.0451,5.2,Earth,12.43,1.3271039999999999e-06,False
HATS-22 b,Transit,4.7228124,2.74,0.953,0.05025,3.89,Mars,207.9,0.13092529089599997,False
HATS-23 b,Transit,2.1605156,1.47,1.86,0.03397,0.29,Hot Jupiter,747.0,2.60112384,False
HATS-24 b,Transit,1.3484954,2.44,1.487,0.02547,0.92,Hot Jupiter,510.0,2.743558264160999,False
NGTS-2 b,Transit,4.511164,0.74,1.595,0.063,0.226,Hot Jupiter,360.3,22.463808159999992,False
EPIC 246851721 b,Transit,6.180235,3.0,1.051,0.07229,3.1,Mars,336.7,11.136183016464003,False
K2-266 b,Transit,0.658524,0.03555,0.294,0.01306,1.77,Neptune,77.16,0.11431160999999995,False
K2-266 c,Transit,7.814,0.00091,0.063,0.0679,4.51,Mars,77.16,0.11431160999999995,False
K2-266 d,Transit,14.697,0.02958,0.261,0.1035,2.03,Neptune,77.16,0.11431160999999995,False
K2-266 e,Transit,19.482,0.02611,0.244,0.1249,2.21,Neptune,77.16,0.11431160999999995,False
WASP-147 b,Transit,4.60273,0.275,1.115,0.0549,0.263,Hot Jupiter,426.0,4.522835876415999,False
